rank,company,startupblink_industry,startupblink_subindustry,city_or_cameroon_scope,physical_network_dependency,likely_adl_use_case,classification,best_current_offer,required_new_data_if_any,buying_urgency,estimated_willingness_to_pay,recommended_next_step,proof_or_reasoning_note
1,upOwa,Energy & Environment,Clean Energy,Cameroon-wide after Douala,High,Solar customer siting and service-point coverage,S3,None yet,"Building suitability; electrification proxy; roof or wall material; access road; installer or service-point coverage",Medium,Medium,"Hold until energy-suitability layer is live; then pitch peri-urban expansion cells","StartupBlink profile shows a Cameroon clean-energy operator with field deployment needs. ADL lacks energy-installation suitability and service coverage today."
2,Diool,Software & Data,Apps,Douala-first,High,Agent landscape and merchant-acquisition whitespace for cash and mobile-money invoice collection,S1,Mobile Money Landscape Brief,,High,High,"Pitch a Douala payments pilot plus weekly delta brief","StartupBlink profile: Douala apps company focused on B2B payments. Merchant and agent network visibility maps directly to ADL mobile money and delta products."
3,PaySika,Fintech,Online Banking,Douala-first,High,Coverage-gap and competitor-proximity mapping for mobile money and cash-in or cash-out access,S1,Mobile Money Landscape Brief,,High,High,"Lead with agent density, gap cells, and weekly change brief","StartupBlink profile: Douala fintech and online banking. Physical cash-in, merchant onboarding, and recurring network change make current ADL mobile money coverage directly useful."
4,Waspito,Software & Data,Apps,Douala-first,High,Pharmacy access informal competition and neighborhood health-service deltas,S1,Pharmacy Access and Informal Competition Brief,,High,High,"Offer a Bonamoussadi pharmacy-access pilot with fortnightly delta updates","StartupBlink profile describes online consultation and medicine delivery. ADL already has credible pharmacy mapping and delta reporting."
5,DigiPlus,Software & Data,Cloud,Cameroon-wide after Douala,Low,None; pure software and web3 infrastructure has little local physical-network need,N,None yet,,Low,Low,Ignore for now,"StartupBlink profile description is no-code blockchain infrastructure. Physical location intelligence is not a clear buying need."
6,CamPay,Fintech,Financial Services,Yaounde after Douala,High,Merchant coverage gaps and mobile-money acceptance whitespace,S1,Mobile Money Landscape Brief,,High,High,"Start with Douala merchant clusters and a competitor-overlap map","StartupBlink profile says CamPay helps businesses accept online payments starting with MTN and Orange Mobile Money. ADL current mobile money landscape is a direct fit."
7,Kiro'o Games,Social & Leisure,Gaming,Cameroon-wide after Douala,Low,None; no immediate field-network intelligence need,N,None yet,,Low,Low,Ignore for now,"Gaming studio profile does not imply route, outlet, or facility-network dependence."
8,PHILJOHN TECHNOLOGIES,Software & Data,Data Analytics,Cameroon-wide after Douala,Medium,White-label spatial intelligence or data-enrichment partnership,P,None yet,,Medium,Medium,"Explore a reseller or integrator conversation instead of a direct buy","StartupBlink profile centers on data, cloud, and platform services. Better channel or implementation partner than direct buyer."
9,MOLO MOLO Paie,Fintech,Financial Services,Douala-first,High,Merchant and agent landscape for savings-linked commerce acquisition,S1,Mobile Money Landscape Brief,,High,Medium,"Pitch merchant-acquisition cells and weekly mobile-money change alerts","StartupBlink profile is commerce-linked savings and payments. Physical merchant and agent presence matter and map well to ADL current mobile money data."
10,Nexbyt Technology,Healthtech,Health Care,Cameroon-wide after Douala,Low,None; current description is broad digital transformation not field-network operations,N,None yet,,Low,Low,Ignore for now,"StartupBlink profile description emphasizes software, media, hosting, and digital transformation. Physical network need is weak."
11,Bitkap,Fintech,Financial Services,Douala-first,High,Cash-in and cash-out plus on-off-ramp proximity intelligence,S1,Mobile Money Landscape Brief,,Medium,Medium,"Pitch agent-coverage and competitor-proximity maps for on-off-ramp access","StartupBlink profile is crypto buy sell and store for FCFA users. Cash conversion nodes and recurring local changes create a usable current fit."
12,SUITCH SAS,Fintech,Financial Services,Douala-first,High,Merchant and payment-node whitespace for expansion,S1,Mobile Money Landscape Brief,,High,Medium,"Approach with a Douala cluster map and expansion-cell report","StartupBlink profile is a fintech and payment operator in Douala. Merchant-network intelligence and deltas are credible sell-now assets."
13,Chat&Yamo,Software & Data,Apps,Yaounde after Douala,Low,None; consumer social app has weak physical-network dependency,N,None yet,,Low,Low,Ignore for now,"Dating and social app profile does not create a strong need for local physical-network intelligence."
14,EKOTECH,Software & Data,SaaS,Cameroon-wide after Douala,Low,None; SMS routing SaaS is not a strong location-data buyer,N,None yet,,Low,Low,Ignore for now,"Profile is A2P and P2P messaging infrastructure. Not an obvious buyer of physical network intelligence."
15,AbcNeural,Software & Data,Artificial Intelligence,Cameroon-wide after Douala,Low,Potential analytics partner for enrichment or packaging,P,None yet,,Low,Medium,"Keep warm as a possible AI or data packaging partner","AI profile suggests technical partnership potential, but weak direct need for local physical-network data."
16,KudoML,Software & Data,Artificial Intelligence,Cameroon-wide after Douala,Low,None; AI copywriting product is low fit,N,None yet,,Low,Low,Ignore for now,"Copywriting assistant profile has no urgent location-data requirement."
18,Giftedmom,Healthtech,Health Care,Yaounde after Douala,Medium,Maternal-care access and pharmacy-support catchment analysis,S3,None yet,"Maternity or clinic or CHW point layer; maternal-product pharmacy SKU availability; catchment proxy",Medium,Medium,"Revisit once a health-facility and catchment layer is defined","StartupBlink profile is maternal health focused. Demand is real, but current ADL pharmacy coverage alone is not enough."
21,Zovizo,Fintech,Financial Services,Cameroon-wide after Douala,Low,None; crowdfunding platform has weak physical-network need,N,None yet,,Low,Low,Ignore for now,"Crowdfunding model is primarily digital and not obviously dependent on field locations or outlet networks."
22,GICMED,Healthtech,Health Care,Yaounde after Douala,High,Cancer-screening route and service-point coverage planning,S3,None yet,"Clinic or screening-site layer; referral routes; power reliability proxy; access-road condition",Medium,Medium,"Hold for health-facility collection; then pitch screening coverage gaps","StartupBlink profile combines telemedicine with portable cancer screening. Strong field-service need, but current ADL pharmacy data is not enough."
23,Axis Intelligence,Software & Data,Artificial Intelligence,Cameroon-wide after Douala,Medium,Potential data and AI reseller or public-sector channel,P,None yet,,Medium,Medium,"Explore channel partnership for packaging ADL briefs into analytics offerings","Profile centers on AI cybersecurity and data solutions for enterprises and governments. Better partner than direct physical-network buyer."
24,AUI Techno,Fintech,Insurance,Yaounde after Douala,High,Hospital and neonatal-device deployment coverage planning,S3,None yet,"Neonatal facility layer; power reliability proxy; access-road condition; service coverage",Medium,Medium,"Hold for facility and power layers; then pitch care-access gaps","StartupBlink description focuses on infant incubators. The buying need is real but requires facility and power intelligence beyond current ADL coverage."
25,Nkwa,Fintech,Financial Services,Buea after Douala,High,Mobile-money and savings-point landscape for customer acquisition,S1,Mobile Money Landscape Brief,,High,Medium,"Pitch savings-user access gaps and mobile-money overlap in Douala and Buea","Profile is mobile goal-based savings. Physical cash-in and mobile-money access plus recurring network changes are directly relevant."
26,eFarm.cm,Software & Data,Apps,Cameroon-wide after Douala,High,Rural-to-urban route coverage and agro-distribution whitespace,S2,None yet,"Transport road passability and blockage; outlet panel for agro-retail and fulfillment points",Medium,Medium,"Keep warm for transport-road and retail-panel activation","Profile says e-commerce plus logistics support for agribusiness and hard-to-reach communities. Strong fit after road and outlet layers go live."
27,Notch Pay,Ecommerce & Retail,Marketplaces,Yaounde after Douala,High,Merchant-acceptance and payment-network coverage mapping,S1,Mobile Money Landscape Brief,,High,High,"Lead with merchant-acceptance gaps competitor overlap and weekly deltas","StartupBlink profile is payments consolidation for African businesses. Merchant and payment-node intelligence is a clear current fit."
29,Fapshi,Fintech,Financial Services,Buea after Douala,High,Payments-infrastructure coverage and merchant whitespace,S1,Mobile Money Landscape Brief,,High,High,"Offer a Douala and Buea merchant-network brief and delta subscription","StartupBlink profile is payment infrastructure for businesses and individuals. ADL mobile money and delta assets match the merchant-acquisition problem."
31,LocalHost Digital,Ecommerce & Retail,Ecommerce,Douala-first,Medium,Agency or channel resale of retail and neighborhood briefs to clients,P,None yet,,Medium,Medium,"Explore agency partnership rather than direct data sale","Digital agency and e-commerce builder profile suggests client-service channel value not a strong direct recurring buy."
33,DOHTECH SOLUTIONS,Software & Data,Software,Buea after Douala,Medium,Marketplace and app-builder partner for client deployments,P,None yet,,Low,Low-Medium,"Keep as a long-tail partner not a priority direct prospect","Profile says it is building a mobile application marketplace for Africa. Better partner or integrator than direct buyer."
36,Makonjo Media,Software & Data,Web Development,Cameroon-wide after Douala,Medium,OOH and local-ad-inventory intelligence for media planning,S2,None yet,"Billboard inventory; occupancy; creative changes; owner; condition",Medium,Medium,"Revisit once billboard layer is activated","Profile covers marketing automation and digital advertising. Billboard and OOH intelligence could become relevant after near-term activation."
39,Noohkema Game Studios,Software & Data,Apps,Yaounde after Douala,Low,None; gaming studio is low fit,N,None yet,,Low,Low,Ignore for now,"Gaming and app-studio profile lacks a clear need for field-network intelligence."
40,One Market,Ecommerce & Retail,Ecommerce,Douala-first,High,Retail supply merchant density and service-zone whitespace,S2,None yet,"Retail kiosk or FMCG outlet panel; price or promo or stockout; supplier source; catchment proxy",High,Medium,"Keep warm for retail-panel activation and pitch expansion cells once the panel is live","StartupBlink profile is e-commerce enablement for businesses. Strong fit after outlet-panel activation, but current ADL assets are not yet sufficient."
43,OPENXTECH,Software & Data,Web Development,Cameroon-wide after Douala,Medium,Creative and tech channel for packaging ADL outputs,P,None yet,,Low,Medium,"Treat as a partner or reseller not a direct buyer","Profile is a tech and creative company. Stronger as an implementation partner than a direct physical-network data buyer."
44,Tresorise,Ecommerce & Retail,Marketplaces,Cameroon-wide after Douala,Low,None; inclusive wealth platform is low direct fit,N,None yet,,Low,Low,Ignore for now,"Investment and wealth-creation profile does not show urgent need for location intelligence."
45,Agro Hub,Ecommerce & Retail,Marketplaces,Cameroon-wide after Douala,High,Agro-collection route intelligence and outlet coverage planning,S2,None yet,"Transport road passability and blockage; agro-outlet or retail panel; catchment proxy",Medium,Medium,"Revisit after road and retail-panel activation","Profile supports farmers in producing processing and selling outputs. Road and outlet intelligence are the missing pieces."
48,Kola Group,Fintech,Financial Services,Douala-first,High,Financial-inclusion expansion cells and wallet-access coverage gaps,S1,Mobile Money Landscape Brief,,High,Medium-High,"Pitch a Douala whitespace report and recurring agent or merchant delta monitoring","StartupBlink profile focuses on financial inclusion ERP and wallet tools. Physical access networks and recurring change are strong current fit."
49,Addrezza,Transportation,Logistics,Cameroon-wide after Douala,High,Address quality landmark density and last-mile route intelligence,S2,None yet,"Transport road passability and blockage; landmark delivery points; alternate routes; catchment proxy",High,Medium,"Revisit after transport-road activation with a delivery-landmark pilot","StartupBlink profile is an addressing and mapping startup. Route and landmark verification are a strong near-term fit once road intelligence is live."
50,TONTIIN,Fintech,Online Banking,Yaounde after Douala,High,Savings-group expansion mapped to mobile-money access and merchant acceptance,S1,Mobile Money Landscape Brief,,High,Medium,"Pitch group-density by cell and a mobile-money network delta brief","StartupBlink profile digitizes tontines through mobile money. This is one of the clearest current fits to ADL mobile money and delta intelligence."
55,Digital Renter,Ecommerce & Retail,Marketplaces,Cameroon-wide after Douala,High,Rental catchment addressability and neighborhood-availability intelligence,S3,None yet,"Building or parcel proxy; rent-level field sample; address or landmark layer; catchment proxy",Medium,Medium,"Hold for a deeper property and catchment collection stack","Proptech marketplace need is real, but ADL does not yet have building and rental-market ground truth."
56,Minaji shop,Hardware & IoT,Consumer Electronics,Buea after Douala,Medium,Retail-demand and service-point siting for electronics distribution,S2,None yet,"Retail kiosk or electronics outlet panel; catchment proxy; service-point coverage",Low,Low,"Keep warm until a retail-panel product exists","Consumer-electronics retail has some expansion use cases, but budget is likely limited and the dataset is not current-core."
60,Dolly Fast Food,Foodtech,Food and Beverage,Buea after Douala,Medium,None; local restaurant footprint is too small for now,N,None yet,,Low,Low,Ignore for now,"Single-brand food business has limited budget and weak need for ADL-style network intelligence."
66,ZuumPay,Fintech,Cryptocurrency,Buea after Douala,High,Cash-in and cash-out plus mobile-money adjacency for crypto conversion access,S1,Mobile Money Landscape Brief,,Medium,Medium,"Approach with on-off-ramp coverage and a weekly change brief","Crypto payments and conversions still rely on local cash and mobile-money nodes. Current mobile money landscape is useful."
